too_cheap,cheap,expensive,too_expensive
45,60,98,148
51,96,160,248
52,113,175,208
73,113,165,240
56,76,131,195
44,89,144,238
35,59,90,124
63,98,149,211
45,69,141,186
73,97,187,268
75,101,189,235
44,91,153,192
78,113,149,227
50,82,171,207
35,70,94,162
40,76,116,173
71,142,186,289
57,84,114,220
63,85,138,187
52,106,155,254
53,70,117,187
56,92,190,273
60,100,128,237
73,105,160,210
77,151,212,370
65,93,147,256
64,114,170,224
69,84,130,206
42,76,132,167
52,102,166,224
40,64,106,206
41,70,84,149
30,61,74,126
62,103,158,230
58,106,181,266
24,45,73,99
46,75,102,179
54,81,124,165
51,94,120,217
29,60,94,127
51,90,119,158
36,67,93,134
69,129,174,284
37,68,122,186
66,96,148,244
52,81,125,197
51,78,126,196
66,100,153,264
56,93,199,225
57,86,129,219
60,82,176,215
46,75,149,207
46,76,112,140
39,57,88,151
47,79,144,201
48,80,116,192
70,102,137,222
54,93,128,199
86,114,195,248
41,67,102,153
74,114,160,254
76,151,237,300
68,117,173,217
70,84,174,210
35,59,110,172
86,128,220,285
52,97,145,244
55,85,150,204
57,90,117,209
80,108,177,230
40,52,114,148
48,90,134,193
53,82,155,227
44,79,115,185
65,99,156,261
33,39,78,89
62,87,143,228
52,110,146,243
55,85,136,201
64,90,150,251
50,72,125,152
46,74,121,149
37,79,122,142
73,143,199,274
69,86,155,248
33,60,115,181
61,106,158,246
45,72,121,172
40,55,91,134
56,92,144,163
83,149,210,321
67,105,179,216
40,73,129,171
25,42,76,95
80,132,198,271
41,63,116,164
58,93,150,195
98,152,231,348
61,76,138,210
32,62,110,161
62,88,158,226
88,134,259,346
57,63,127,194
29,50,73,111
44,91,132,191
70,96,175,233
58,98,126,244
42,78,115,188
60,79,133,199
48,76,139,199
45,66,119,162
64,131,189,324
66,100,123,234
48,79,148,175
25,36,67,95
52,69,134,187
56,78,142,223
57,86,156,217
69,106,159,200
31,69,107,150
51,78,127,189
69,90,151,275
62,107,190,292
42,56,106,132
73,120,179,272
56,98,181,274
68,101,169,209
55,84,163,210
28,51,87,134
20,32,47,88
61,94,162,211
64,78,135,228
70,110,156,217
56,104,150,201
59,92,145,186
42,56,91,137
71,123,201,294
41,66,101,166
68,97,139,244
44,56,85,146
180,90,60,40
100,95,90,85
n/a,50,90,140
